VDDH [V],L_n [um],gm_id_n [1/V],Wn [um],L_p [um],gm_id_p [1/V],Wp [um],A2 [V/V],Iq_total [A],Iq_scale,Power [mW],gm_n [S],gm_p [S],gm_total [S],rout [ohm],p2 [Hz],I_pk_available [A],Vout_CM [V],V_low_sat [V],V_high_sat [V],swing_actual [V],VGS_n [V],VGS_p [V],Vgate_n [V],Vgate_p [V],Vbias_pg_minus_ng [V],C_out_parasitic [pF]
1.6,0.15,14.636363636363637,38.90265328944865,0.15,17.272727272727273,51.96129438513553,35.20235770923384,0.000252,1.5,0.40320000000000006,0.0036883636363636363,0.004352727272727273,0.00804109090909091,4377.8086962598045,218569097.29862493,0.00252,0.8,0.06832298136645963,1.5421052631578949,1.4737822817914352,0.5715794365047406,0.5475154617169418,0.5715794365047406,1.0524845382830583,0.4809051017783177,0.04512479054019541
1.6,0.15,14.636363636363637,38.90265328944865,0.15,19.09090909090909,76.07563421911003,35.639619283130074,0.000252,1.5,0.40320000000000006,0.0036883636363636363,0.0048109090909090905,0.008499272727272727,4193.255167441394,208866817.4145578,0.00252,0.8,0.06832298136645963,1.5476190476190477,1.479296066252588,0.5715794365047406,0.5265474534837198,0.5715794365047406,1.0734525465162803,0.5018731100115397,0.05850241949573756
1.6,0.15,14.636363636363637,38.90265328944865,0.15,20.909090909090907,117.16051001331563,35.98373575371912,0.000252,1.5,0.40320000000000006,0.0036883636363636363,0.005269090909090908,0.008957454545454544,4017.183182021174,189026994.12247193,0.00252,0.8,0.06832298136645963,1.5521739130434784,1.4838509316770188,0.5715794365047406,0.5049629081998241,0.5715794365047406,1.095037091800176,0.5234576552954353,0.08125194197538206
1.6,0.15,14.636363636363637,38.90265328944865,0.15,22.727272727272727,192.9555414054866,36.31709856206768,0.000252,1.5,0.40320000000000006,0.0036883636363636363,0.005727272727272727,0.009415636363636362,3857.1050494607084,155794665.65808392,0.00252,0.8,0.06832298136645963,1.556,1.4876770186335404,0.5715794365047406,0.48210152514385446,0.5715794365047406,1.1178984748561456,0.5463190383514049,0.12313643813940853
1.6,0.15,14.636363636363637,38.90265328944865,0.15,24.545454545454547,344.72511172849335,36.76149988197442,0.000252,1.5,0.40320000000000006,0.0036883636363636363,0.006185454545454546,0.009873818181818182,3723.1291082174957,108976803.91507971,0.00252,0.8,0.06832298136645963,1.5592592592592593,1.4909362778927997,0.5715794365047406,0.45756131020998114,0.5715794365047406,1.142438689790019,0.5708592532852783,0.20682268888914312
1.6,0.15,16.363636363636363,67.81377359184587,0.15,10.0,14.193245761086628,32.296540562687724,0.000252,1.5,0.40320000000000006,0.004123636363636363,0.00252,0.006643636363636364,4861.274578401272,204128735.0590911,0.00252,0.8,0.06111111111111111,1.5,1.4388888888888889,0.5357145622515623,0.6445217838836491,0.5357145622515623,0.955478216116351,0.41976365386478864,0.035956642524722325
1.6,0.15,16.363636363636363,67.81377359184587,0.15,11.818181818181818,19.4283006854349,33.24459047257765,0.000252,1.5,0.40320000000000006,0.004123636363636363,0.002978181818181818,0.007101818181818181,4681.13793136654,210016101.82779318,0.00252,0.8,0.06111111111111111,1.5153846153846156,1.4542735042735044,0.5357145622515623,0.6156594999126472,0.5357145622515623,0.9843405000873529,0.4486259378357905,0.03888030862187581
1.6,0.15,16.363636363636363,67.81377359184587,0.15,13.636363636363637,26.581211219591488,34.05816137105221,0.000252,1.5,0.40320000000000006,0.004123636363636363,0.0034363636363636363,0.007559999999999999,4505.047800403731,214148448.01648858,0.00252,0.8,0.06111111111111111,1.5266666666666668,1.4655555555555557,0.5357145622515623,0.5909869016630518,0.5357145622515623,1.0090130983369483,0.47329853608538597,0.04286853298668619
1.6,0.15,16.363636363636363,67.81377359184587,0.15,15.454545454545453,36.75791929473075,34.73327989626673,0.000252,1.5,0.40320000000000006,0.004123636363636363,0.0038945454545454544,0.008018181818181817,4331.814953049139,215745811.05396375,0.00252,0.8,0.06111111111111111,1.535294117647059,1.4741830065359478,0.5357145622515623,0.5686792359292226,0.5357145622515623,1.0313207640707773,0.495606201819215,0.04853350937983226
1.6,0.15,16.363636363636363,67.81377359184587,0.15,17.272727272727273,51.96129438513553,35.27120183097415,0.000252,1.5,0.40320000000000006,0.004123636363636363,0.004352727272727273,0.008476363636363636,4161.124197133373,213370837.9329747,0.00252,0.8,0.06111111111111111,1.5421052631578949,1.4809941520467838,0.5357145622515623,0.5475154617169418,0.5357145622515623,1.0524845382830583,0.516769976031496,0.05698250857719966
1.6,0.15,16.363636363636363,67.81377359184587,0.15,19.09090909090909,76.07563421911003,35.68492534367449,0.000252,1.5,0.40320000000000006,0.004123636363636363,0.0048109090909090905,0.008934545454545454,3994.0392631300315,204863965.68431494,0.00252,0.8,0.06111111111111111,1.5476190476190477,1.4865079365079366,0.5357145622515623,0.5265474534837198,0.5357145622515623,1.0734525465162803,0.537737984264718,0.07036013753274181
1.6,0.15,16.363636363636363,67.81377359184587,0.15,20.909090909090907,117.16051001331563,36.011532847298696,0.000252,1.5,0.40320000000000006,0.004123636363636363,0.005269090909090908,0.009392727272727271,3833.9804618688127,186885528.47347522,0.00252,0.8,0.06111111111111111,1.5521739130434784,1.4910628019323673,0.5357145622515623,0.5049629081998241,0.5357145622515623,1.095037091800176,0.5593225295486136,0.0931096600123863
1.6,0.15,16.363636363636363,67.81377359184587,0.15,22.727272727272727,192.9555414054866,36.32921287958138,0.000252,1.5,0.40320000000000006,0.004123636363636363,0.005727272727272727,0.00985090909090909,3687.90459279619,156045230.30358133,0.00252,0.8,0.06111111111111111,1.556,1.494888888888889,0.5357145622515623,0.48210152514385446,0.5357145622515623,1.1178984748561456,0.5821839126045832,0.13499415617641278
1.6,0.15,16.363636363636363,67.81377359184587,0.15,24.545454545454547,344.72511172849335,36.75436503433991,0.000252,1.5,0.40320000000000006,0.004123636363636363,0.006185454545454546,0.01030909090909091,3565.2382308442593,111609462.78616653,0.00252,0.8,0.06111111111111111,1.5592592592592593,1.4981481481481482,0.5357145622515623,0.45756131020998114,0.5357145622515623,1.142438689790019,0.6067241275384566,0.21868040692614737
1.6,0.15,16.363636363636363,67.81377359184587,0.15,26.363636363636363,677.8639524922746,37.38988870072906,0.000252,1.5,0.40320000000000006,0.004123636363636363,0.006643636363636364,0.010767272727272726,3472.5496091524797,52874157.70240442,0.00252,0.8,0.06111111111111111,1.5620689655172415,1.5009578544061304,0.5357145622515623,0.4310141344677988,0.5357145622515623,1.1689858655322012,0.6332713032806389,0.40194984332577544
1.55,0.15,14.636363636363637,42.225596768065785,0.15,13.636363636363637,28.88169102941272,33.090937115819344,0.00027299999999999997,1.625,0.42314999999999997,0.003995727272727272,0.0037227272727272725,0.007718454545454545,4287.249075698301,246519759.02166155,0.00273,0.775,0.06832298136645963,1.4766666666666668,1.4083436853002071,0.5722490093001235,0.5914572817329042,0.5722490093001235,0.9585427182670958,0.38629370896697235,0.03390567062352851
1.55,0.15,14.636363636363637,42.225596768065785,0.15,15.454545454545453,39.92094326832231,33.817526603121024,0.00027299999999999997,1.625,0.42314999999999997,0.003995727272727272,0.0042190909090909084,0.00821481818181818,4116.649432116367,246624257.24591035,0.00273,0.775,0.06832298136645963,1.4852941176470589,1.4169711362805992,0.5722490093001235,0.5691808620633072,0.5722490093001235,0.9808191379366928,0.4085701286365694,0.04010201658492882
1.55,0.15,14.636363636363637,42.225596768065785,0.15,17.272727272727273,56.401660222499785,34.39895199883279,0.00027299999999999997,1.625,0.42314999999999997,0.003995727272727272,0.004715454545454545,0.008711181818181818,3948.827233411193,241840313.23175487,0.00273,0.775,0.06832298136645963,1.4921052631578948,1.4237822817914352,0.5722490093001235,0.5480506354239059,0.5722490093001235,1.0019493645760942,0.4297003552759707,0.04933609917601305
1.55,0.15,14.636363636363637,42.225596768065785,0.15,19.09090909090909,82.53246668370743,34.84801553088157,0.00027299999999999997,1.625,0.42314999999999997,0.003995727272727272,0.005211818181818181,0.009207545454545454,3784.7237032838407,229535738.0090855,0.00273,0.775,0.06832298136645963,1.4976190476190476,1.429296066252588,0.5722490093001235,0.5271124569813079,0.5722490093001235,1.0228875430186921,0.45063853371856866,0.06394977476324434
1.55,0.15,14.636363636363637,42.225596768065785,0.15,20.909090909090907,127.07357776843435,35.20126339816729,0.00027299999999999997,1.625,0.42314999999999997,0.003995727272727272,0.005708181818181817,0.00970390909090909,3627.534333678464,206383439.6391964,0.00273,0.775,0.06832298136645963,1.5021739130434784,1.4338509316770187,0.5722490093001235,0.505540207269683,0.5722490093001235,1.0444597927303172,0.47221078343019374,0.0888099298318965
1.55,0.15,14.636363636363637,42.225596768065785,0.15,22.727272727272727,209.40600510605418,35.537172198463246,0.00027299999999999997,1.625,0.42314999999999997,0.003995727272727272,0.006204545454545454,0.010200272727272726,3483.9433364802703,169163739.62180242,0.00273,0.775,0.06832298136645963,1.506,1.4376770186335404,0.5722490093001235,0.4826515514294423,0.5722490093001235,1.0673484485705578,0.4950994392704343,0.1346644187358139
1.55,0.15,14.636363636363637,42.225596768065785,0.15,24.545454545454547,374.831927837381,35.975494738362556,0.00027299999999999997,1.625,0.42314999999999997,0.003995727272727272,0.006700909090909091,0.010696636363636363,3363.2530372503516,118840592.78421722,0.00273,0.775,0.06832298136645963,1.5092592592592593,1.4409362778927997,0.5722490093001235,0.45803057946200726,0.5722490093001235,1.0919694205379928,0.5197204112378694,0.22658490139701487
1.55,0.15,14.636363636363637,42.225596768065785,0.15,26.363636363636363,739.2477174498597,36.62520193912956,0.00027299999999999997,1.625,0.42314999999999997,0.003995727272727272,0.007197272727272727,0.011192999999999998,3272.1524112507427,59975649.35244451,0.00273,0.775,0.06832298136645963,1.5120689655172415,1.4437459841507818,0.5722490093001235,0.4313678371111183,0.5722490093001235,1.1186321628888818,0.5463831535887583,0.42857863956709363
1.55,0.15,16.363636363636363,73.57401302222956,0.15,13.636363636363637,28.88169102941272,33.23831410148208,0.00027299999999999997,1.625,0.42314999999999997,0.004467272727272727,0.0037227272727272725,0.00819,4058.4022101931723,238115088.73664725,0.00273,0.775,0.06111111111111111,1.4766666666666668,1.4155555555555557,0.5364129034602922,0.5914572817329042,0.5364129034602922,0.9585427182670958,0.42212981480680356,0.046823152336842505
1.55,0.15,16.363636363636363,73.57401302222956,0.15,15.454545454545453,39.92094326832231,33.92202013339642,0.00027299999999999997,1.625,0.42314999999999997,0.004467272727272727,0.0042190909090909084,0.008686363636363634,3905.2037830179042,238589506.6718613,0.00273,0.775,0.06111111111111111,1.4852941176470589,1.4241830065359478,0.5364129034602922,0.5691808620633072,0.5364129034602922,0.9808191379366928,0.4444062344764006,0.053019498298242804
1.55,0.15,16.363636363636363,73.57401302222956,0.15,17.272727272727273,56.401660222499785,34.47068928330871,0.00027299999999999997,1.625,0.42314999999999997,0.004467272727272727,0.004715454545454545,0.009182727272727273,3753.861816814135,234669049.44956034,0.00273,0.775,0.06111111111111111,1.4921052631578948,1.4309941520467837,0.5364129034602922,0.5480506354239059,0.5364129034602922,1.0019493645760942,0.46553646111580194,0.062253580889327045
1.55,0.15,16.363636363636363,73.57401302222956,0.15,19.09090909090909,82.53246668370743,34.89561905160683,0.00027299999999999997,1.625,0.42314999999999997,0.004467272727272727,0.005211818181818181,0.009679090909090908,3605.257908966612,224007087.5872116,0.00273,0.775,0.06111111111111111,1.4976190476190476,1.4365079365079365,0.5364129034602922,0.5271124569813079,0.5364129034602922,1.0228875430186921,0.48647463955839987,0.07686725647655834
